instr,TP,LT,ports
sbb-r64_imd,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbbq-r64_imd,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbb-mem_r8,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-r8_r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbb-mem,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-mem_r32,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbbl-mem_r32,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-mem_r64,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbbq-mem_r64,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbb-r32_r32,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbbl-r32_r32,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbb-r64_r64,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbbq-r64_r64,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbb-r8_mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
sbb-mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
sbb-r32_mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
